"","bacc","specificity","sensitivity","threshold","beta0","beta1","beta2","beta3","beta4"
"135",0.790222963374714,0.945525291828794,0.634920634920635,0.356731801279226,-14.1726300400272,-20.7603681556736,31.8430784285725,0.0529644229551409,6.64563968828697
"136",0.809987029831388,0.953307392996109,0.666666666666667,0.360078656179475,-14.5195598416371,-19.8652809768786,31.5332891956174,0.0507496615812387,6.17680889648719
"137",0.842350688654191,0.891050583657588,0.793650793650794,0.337461999039826,-14.8532207755292,-21.7039407425998,33.4045403060092,0.0509217551664407,6.89061061132811
"138",0.84834167129887,0.88715953307393,0.80952380952381,0.334926833454763,-15.4895164275215,-22.6830129679892,34.8846780123907,0.0533478194831787,7.02703161067356
"139",0.853869433635971,0.929961089494163,0.777777777777778,0.361411658153244,-12.3239714736202,-19.2554787341542,28.7043733661777,0.0529332866394493,5.86829866206304
"140",0.819158791921438,0.828793774319066,0.80952380952381,0.32758233035375,-14.0189467332925,-22.3762363814414,33.2511249143843,0.0517319100311841,6.03057330248676
"141",0.864214687171886,0.88715953307393,0.841269841269841,0.339625346345941,-16.1797979747864,-22.5383460404468,35.4987531233702,0.0505307685637014,7.15725537744959
"142",0.860478043357421,0.863813229571984,0.857142857142857,0.31832284749656,-14.5832343877544,-19.7363706999421,31.3236468262142,0.050443563562763,7.24452993096138
"143",0.82422333395096,0.918287937743191,0.73015873015873,0.393269987924921,-14.4155292140414,-22.4349851911824,33.7219325122337,0.0547541453238301,5.92415520798968
"144",0.825921808412081,0.747081712062257,0.904761904761905,0.212058641019392,-11.8141734925855,-20.8379561190385,29.7801078176075,0.0454378379880826,5.03502401383932
"145",0.826323266011982,0.906614785992218,0.746031746031746,0.359368992135567,-15.1395609058888,-22.8823301466566,34.6431584462485,0.0529465106865779,7.40915488437165
"146",0.832468655425854,0.88715953307393,0.777777777777778,0.327160125944861,-13.4794818489008,-20.5718086587271,31.1890065401745,0.0550790502825796,5.15054432292635
"147",0.828732011611389,0.863813229571984,0.793650793650794,0.314381870898451,-12.3977245742892,-19.8286439845637,29.5313652802428,0.0494041150687996,4.66491321190933
"148",0.842350688654191,0.891050583657588,0.793650793650794,0.354375394760776,-15.2640581785026,-22.9285893435224,34.9535705810556,0.0487277924740241,6.88159306669033
"149",0.830368723364832,0.898832684824903,0.761904761904762,0.317442334989637,-13.6736155321129,-20.8243662434224,31.4313611794559,0.0520974760782816,6.35866859050187
"150",0.852541535420913,0.863813229571984,0.841269841269841,0.312796839142116,-12.6075331537165,-20.6393329185466,30.3302308751875,0.0488400660495065,5.54214989759747
"151",0.782440862207399,0.929961089494163,0.634920634920635,0.386107052492774,-13.7657062325528,-22.7545516351305,33.4646843237396,0.0514545768930205,5.18019288421931
"152",0.852232721882527,0.894941634241245,0.80952380952381,0.331228726886985,-16.8363302051812,-25.673065804456,38.9380784401443,0.0475013676737231,7.49345214234815
"153",0.844450620715212,0.879377431906615,0.80952380952381,0.358516038584511,-11.6363268389638,-19.4441056073681,28.258412902395,0.0533661239243976,5.21524965395182
"154",0.856586992773763,0.856031128404669,0.857142857142857,0.314118077120848,-12.8219334271642,-18.6380564819271,28.6361002262893,0.0502180296363071,6.37312492047592
"155",0.850287196590699,0.891050583657588,0.80952380952381,0.33376497083274,-13.8499961293959,-20.6361808295652,31.5996326640226,0.0525472797196656,5.6226878857378
"156",0.820641096905688,0.879377431906615,0.761904761904762,0.319181496101574,-12.337316644251,-18.1331073380597,27.7658152729835,0.0584210018651709,5.25792865342907
"157",0.842505095423383,0.875486381322957,0.80952380952381,0.325404966173755,-15.7799569401023,-21.2047021547954,33.8713837134932,0.0535544622063107,7.12426662249251
