,Date,Open,Close,High,Low,Volume
154,1635098400000,1.0796,1.0652,1.08,1.0483,1166697.76083065
155,1635094800000,1.078,1.0801,1.0813,1.0761,55087.54409687
156,1635091200000,1.0757,1.078,1.0782,1.065,473130.19716372
157,1635087600000,1.0827,1.076,1.0853,1.0746,422737.40768968
158,1635084000000,1.0856,1.0824,1.088,1.0815,101377.7166779
159,1635080400000,1.0831,1.0865,1.0902,1.0818,112829.28488672
160,1635076800000,1.0826,1.0833,1.0853,1.0717,372423.80923822
161,1635073200000,1.0895,1.0826,1.09,1.0775,685442.1482398
162,1635069600000,1.0849,1.089,1.0903,1.0845,81563.32419095
163,1635066000000,1.0806,1.0851,1.0916,1.0788,122577.45425619
164,1635062400000,1.0847,1.081,1.0849,1.0794,129203.80556194
165,1635058800000,1.0841,1.0834,1.0861,1.0817,75522.53134341
166,1635055200000,1.0863,1.0836,1.0879,1.0831,86222.94166857
167,1635051600000,1.0891,1.0869,1.091,1.0862,49679.59726707
168,1635048000000,1.0924,1.0891,1.0925,1.0875,69384.16411969
169,1635044400000,1.0903,1.0925,1.0932,1.0898,62149.617899749996
170,1635040800000,1.0919,1.0909,1.0928,1.0875,41805.67871796
171,1635037200000,1.0911,1.0918,1.0929,1.0892,67815.93795504
172,1635033600000,1.0936,1.091,1.0962,1.0882,117433.37476727
173,1635030000000,1.0881,1.0937,1.0942,1.0877,71399.84439189
174,1635026400000,1.0887,1.0879,1.0927,1.0875,101712.23745104
175,1635022800000,1.0878,1.0897,1.0903,1.0859,121860.4356659
176,1635019200000,1.0854,1.0881,1.0881,1.0839,162284.01909185
177,1635015600000,1.0859,1.0863,1.0874,1.0821,74073.84164635
178,1635012000000,1.0871,1.0854,1.0903,1.0838,205550.91575759
179,1635008400000,1.0875,1.0873,1.0898,1.0848,104667.41038586
180,1635004800000,1.097,1.0881,1.1011,1.0853,444456.33166123
181,1635001200000,1.0926,1.0957,1.1013,1.0896,277645.94080165
182,1634997600000,1.0888,1.0921,1.0953,1.0888,170174.96460145
183,1634994000000,1.0902,1.089,1.0924,1.088,268236.8153692
