,Date,Open,Close,High,Low,Volume
206,1634911200000,209.71,209.74,209.94,203.58,25568.33566281
207,1634907600000,209.68,209.98,214.0,207.36,24533.46637703
208,1634904000000,204.23,209.8,209.98,201.95,13143.18389985
209,1634900400000,202.95,204.16,205.24,202.69,2562.68500056
210,1634896800000,204.92,202.96,205.4,201.25,4119.7614925
211,1634893200000,203.07,204.84,205.94,202.86,3287.25993273
212,1634889600000,203.27,203.2,205.45,201.48,6657.0033879
213,1634886000000,202.27,203.01,203.91,200.8,5122.48794115
214,1634882400000,205.09,202.17,205.77,201.83,10882.02064001
215,1634878800000,202.75,205.51,207.97,201.55,22560.15509943
216,1634875200000,201.62,202.61,203.78,200.19,17706.87059935
217,1634871600000,199.4,201.54,202.39,199.4,18398.30925418
218,1634868000000,201.18,199.41,203.29,198.37,3812.80533685
219,1634864400000,200.12,201.76,205.79,199.42,49017.08697003
220,1634860800000,190.52,200.24,201.93,188.04,29643.94922071
221,1634857200000,184.63,190.35,191.0,184.2,13986.02754353
222,1634853600000,188.19,184.17,188.7,183.76,2623.56147539
223,1634850000000,184.4,187.71,188.27,184.39,3326.60598241
224,1634846400000,184.65,184.47,186.34,182.67,5730.73882773
225,1634842800000,182.8,184.72,188.49,182.8,9634.0969439
226,1634839200000,181.53,182.68,183.87,181.21,11724.43886874
227,1634835600000,181.16,181.5,184.91,180.94,11377.83339118
228,1634832000000,182.26,181.24,185.3,180.62,12866.72439442
229,1634828400000,183.54,182.81,185.12,178.18,32044.46985161
230,1634824800000,187.38,183.61,188.2,182.12,12263.28380067
231,1634821200000,186.83,187.57,190.94,186.42,15753.29146553
232,1634817600000,186.97,186.84,188.88,182.51,19343.86400054
233,1634814000000,191.73,187.14,194.42,183.56,18279.22008558
234,1634810400000,191.7,191.32,192.53,189.0,2363.84003043
235,1634806800000,191.19,191.7,193.65,190.11,9541.37591651
236,1634803200000,186.99,191.24,192.99,185.59,14882.00874944
237,1634799600000,182.96,187.16,189.0,181.67,14135.32852765
238,1634796000000,182.93,182.98,184.3,180.87,6439.66019951
239,1634792400000,182.83,183.23,184.56,182.54,7251.8588975
240,1634788800000,184.1,182.86,184.26,180.02,10493.91808254
241,1634785200000,184.58,184.39,185.19,180.85,7884.84020639
242,1634781600000,184.58,184.7,188.48,181.02,14453.48074969
243,1634778000000,185.48,184.49,189.85,182.41,17538.60140032
244,1634774400000,176.83,185.64,187.86,176.81,34500.59248304
245,1634770800000,172.06,176.74,176.82,171.05,11108.44345625
246,1634767200000,172.49,172.23,173.27,171.57,1171.48779466
247,1634763600000,173.37,172.47,174.78,171.66,4408.0648173
248,1634760000000,173.42,173.39,173.9,170.14,8090.86963929
249,1634756400000,173.87,173.18,174.83,172.26,6603.85822207
250,1634752800000,172.44,174.0,174.09,171.41,7402.35976678
251,1634749200000,172.42,172.37,174.0,170.11,6905.71256152
252,1634745600000,168.82,172.56,174.44,166.95,14656.70798281
253,1634742000000,163.87,168.71,169.88,163.79,20501.46577959
254,1634738400000,162.21,164.29,164.66,161.67,9247.5072277
255,1634734800000,160.66,162.14,162.14,160.13,10502.64033539
256,1634731200000,160.24,160.55,160.8,159.46,13035.07785201
257,1634727600000,158.27,160.16,160.16,157.73,4229.72675588
258,1634724000000,157.34,158.2,159.33,157.34,3575.26644476
259,1634720400000,156.89,157.26,158.17,156.71,11406.01939219
260,1634716800000,156.71,156.79,157.04,155.97,2051.0667603
261,1634713200000,155.84,156.62,156.72,155.82,407.07487403
262,1634709600000,155.61,155.86,156.1,155.57,337.94157623
263,1634706000000,156.24,155.69,157.11,155.04,1813.50448057
264,1634702400000,155.8,156.25,156.45,155.51,142.26391375
265,1634698800000,156.56,155.82,156.6,155.76,225.89965185
266,1634695200000,156.28,156.29,156.78,155.79,1005.935431
267,1634691600000,156.55,156.16,157.17,155.73,902.83428499
268,1634688000000,155.81,156.59,157.63,155.8,8926.26588468
269,1634684400000,156.75,155.92,157.33,155.76,2497.51281384
270,1634680800000,154.52,156.75,157.07,154.52,3492.66862925
271,1634677200000,153.64,154.52,155.0,153.64,2511.78525207
272,1634673600000,154.4,153.7,154.96,153.1,4193.06711152
273,1634670000000,155.37,154.5,155.86,154.07,4395.9428347
274,1634666400000,156.01,155.33,156.45,155.11,1367.54986274
275,1634662800000,155.86,156.19,156.57,155.78,488.60519028
276,1634659200000,155.48,155.98,156.14,155.41,507.22140246
277,1634655600000,156.13,155.53,156.42,155.53,925.5047183
278,1634652000000,156.91,156.22,156.94,154.91,1953.55465478
279,1634648400000,157.28,156.83,158.03,156.83,2138.7957788
280,1634644800000,157.04,157.36,157.89,156.76,1989.32974084
